lat,lon,degree
24.010104000061535,-104.69243699957894,3
24.01161299974311,-104.72722199969353,3
24.02044100005236,-104.51970799980558,3
24.033044000153208,-104.63902300030864,4
24.03548000008502,-104.6573950004447,4
24.08491000001864,-98.87376200040134,3
24.094264999961386,-104.5761220002223,3
24.094779999918767,-104.57435700023352,3
24.09485800023975,-104.57607299981848,3
24.095033000356036,-104.57610399978064,3
24.09616499980454,-104.57614800016158,3
24.107857000376782,-110.31119300037258,3
24.11329499974243,-98.79834900003478,3
24.11614399970802,-110.3446439995953,3
24.833380000307297,-103.68683299975572,3
24.836062999687236,-103.68906899992268,3
24.839270999657376,-99.5607259997428,3
24.842362000135473,-103.69038100017492,3
24.86273000028588,-103.69899799970632,3
24.863221999714945,-103.69867499966612,3
24.869493999891876,-99.57616999960076,3
24.882247999711687,-103.69956199977092,3
24.90354199976369,-103.70355500042903,3
25.057429000235494,-111.68473099996643,3
25.125975000162644,-99.8113740003864,3
25.192136999919875,-99.88540600000546,3
25.273920999986437,-100.01688599956078,3
25.335187999919142,-100.07303200018892,3
25.42726600017393,-100.9696590004449,4
25.434350000029497,-100.80456899986156,3
25.437643999709035,-100.81362099958612,3
25.43826999972034,-100.97363600031122,3
25.43865500036516,-100.82436500040284,3
25.447193999999023,-100.98960099967776,3
25.466046000224186,-100.98048500037908,4
25.488150999769356,-108.24083600037518,3
25.527326999827633,-103.21654499963162,3
25.529670000088657,-103.22613000035696,3
25.53021000012644,-108.38672200007096,3
25.535060999941503,-103.37571300043486,3
25.535845000318396,-103.24964299957524,3
25.536789999989292,-100.94660200043792,3
25.537904000141403,-103.53498400027196,3
25.53801600028559,-103.22389099981696,3
25.55162899998158,-103.4857829999712,3
25.55359099983857,-108.42507200032315,3
25.554267999951524,-103.5071870001424,3
25.585651999617056,-103.40972900044542,4
25.62235600014409,-103.51530800027956,3
25.625566000352197,-102.87784800028928,3
25.62572700018976,-102.87374199965323,3
25.63107500009849,-102.8693120000504,3
25.642586000003465,-102.03077600033636,3
25.654524000342377,-100.06965700002206,3
25.67198799976065,-102.45085899987902,3
25.6928440000751,-100.1652329995544,3
25.698693999697355,-100.56062200004614,3
25.69875600028062,-100.5672440003333,3
25.748099999859605,-100.1621839998008,3
25.759763999719578,-102.97894399991884,3
25.77718300009892,-100.18409299958712,3
25.783315000315564,-100.16529600020192,4
25.78871999975628,-80.20355900010534,4
25.79201800031729,-101.11297500006287,3
25.81241100013674,-80.20591099972495,4
25.825036000045685,-100.30024399981052,4
25.83153200019923,-100.2572329999768,4
25.86612300034263,-103.61241199997424,3
25.86895999965788,-103.6137960001965,3
25.8711719997883,-100.22951200001523,3
25.99328400007485,-97.74428299987758,3
26.005196000396666,-98.16627900044534,3
26.081939000141535,-80.16858099964689,4
26.112101999768157,-98.32985299966364,3
26.120378999874916,-80.34473700036393,3
26.44906399989733,-99.15405400028072,3
26.702872000392023,-101.39061900004664,3
26.76340200033641,-105.58788100035244,3
26.88741300028618,-99.81817800024844,4
26.90451199981568,-104.55535900010858,3
26.93391299962447,-105.63761599968228,3
27.098463999671623,-109.4472270002172,3
27.134745000213847,-99.6873589999438,3
27.143380999980582,-104.92667600044196,3
27.302951000326765,-99.59751100002278,3
27.30315399984859,-99.59740499971758,3
27.320932000030787,-109.7208189999916,3
27.425699000358055,-99.53180499968198,3
27.49487400019759,-99.5161690002034,3
27.498823999662367,-99.50746499973508,3
27.517803999708583,-99.56210199956912,3
27.5831740001168,-82.51444500009362,3
27.68311299995886,-105.16394499989374,3
27.69624299963226,-105.17707499976692,3
27.766960999927377,-82.65788100026049,3
27.777156999816935,-82.659211999881,3
27.865075999755263,-97.62262400015084,3
